idProduct,idMetacard,product_name,collector_number,canonical_card_id,card_name,rarity,mapping_method,review_notes
719442,421079,Bulbasaur [Leech Seed | 151],001,23356,Bulbasaur,,manual_review,batch identity approval: first candidate through 719617
719444,421081,Ivysaur [Leech Seed | Vine Whip | 151],002,23357,Ivysaur,,manual_review,batch identity approval: first candidate through 719617
719445,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,23358,Venusaur ex,,manual_review,batch identity approval: first candidate through 719617
719446,421083,Charmander [Blazing Destruction | Steady Firebreathing],004,23359,Charmander,,manual_review,batch identity approval: first candidate through 719617
719447,421084,Charmeleon [Combustion | Fire Blast],005,23360,Charmeleon,,manual_review,batch identity approval: first candidate through 719617
719448,421085,Charizard ex [Brave Wing | Explosive Vortex],006,23361,Charizard ex,,manual_review,batch identity approval: first candidate through 719617
719449,421086,Squirtle [Withdraw | Skull Bash],007,23362,Squirtle,,manual_review,batch identity approval: first candidate through 719617
719450,421087,Wartortle [Free Diving | Spinning Attack],008,23363,Wartortle,,manual_review,batch identity approval: first candidate through 719617
719451,421088,Blastoise ex [Solid Shell | Twin Cannons],009,23364,Blastoise ex,,manual_review,batch identity approval: first candidate through 719617
719452,421089,Caterpie [Leaf Munch],010,23365,Caterpie,,manual_review,batch identity approval: first candidate through 719617
719466,421103,Arbok ex [Bind Down | Menacing Fangs],024,23379,Arbok ex,,manual_review,batch identity approval: first candidate through 719617
719467,421104,Pikachu [Charge | Pika Punch],025,23380,Pikachu,,manual_review,batch identity approval: first candidate through 719617
719476,421113,Nidoking [Enthusiastic King | Venom Impact],034,23389,Nidoking,,manual_review,batch identity approval: first candidate through 719617
719480,421117,Ninetales ex [Heat Wave | Mirrored Flames],038,23393,Ninetales ex,,manual_review,batch identity approval: first candidate through 719617
719482,421119,Wigglytuff ex [Expanding Body | Friend Tackle],040,23395,Wigglytuff ex,,manual_review,batch identity approval: first candidate through 719617
719496,421133,Psyduck [Overthinking | Water Gun],054,23409,Psyduck,,manual_review,batch identity approval: first candidate through 719617
719503,421140,Poliwhirl [Wave Splash | Frog Hop],061,23416,Poliwhirl,,manual_review,batch identity approval: first candidate through 719617
719507,421144,Alakazam ex [Mind Jack | Dimensional Hand],065,23420,Alakazam ex,,manual_review,batch identity approval: first candidate through 719617
719509,421146,Machoke [Mountain Ramming],067,23422,Machoke,,manual_review,batch identity approval: first candidate through 719617
719518,421155,Golem ex [Dynamic Roll | Rock Blaster],076,23431,Golem ex,,manual_review,batch identity approval: first candidate through 719617
719567,421193,Tangela [Tactful Tangling],114,23469,Tangela,,manual_review,batch identity approval: first candidate through 719617
719568,421194,Kangaskhan ex [Triple Draw | Incessant Punching],115,23470,Kangaskhan ex,,manual_review,batch identity approval: first candidate through 719617
719575,421201,Mr. Mime [Mimic Barrier | Psypower],122,23477,Mr. Mime,,manual_review,batch identity approval: first candidate through 719617
719577,421203,Jynx ex [Heart-Stopping Kiss | Icy Wind],124,23479,Jynx ex,,manual_review,batch identity approval: first candidate through 719617
719591,421217,Omanyte [Tentacular Return],138,23493,Omanyte,,manual_review,batch identity approval: first candidate through 719617
719598,421224,Zapdos ex [Voltaic Float | Multishot Lightning],145,23500,Zapdos ex,,manual_review,batch identity approval: first candidate through 719617
719601,421227,Dragonair [Beat | Aqua Slash],148,23503,Dragonair,,manual_review,batch identity approval: first candidate through 719617
719604,421230,Mew ex [Restart | Genome Hacking],151,23506,Mew ex,,manual_review,batch identity approval: first candidate through 719617
719614,421239,Erika's Invitation,160,23515,Erika’s Invitation,,manual_review,batch identity approval: first candidate through 719617
719615,421240,Giovanni's Charisma,161,23516,Giovanni’s Charisma,,manual_review,batch identity approval: first candidate through 719617
719616,421241,Daisy's Help,158,23513,Daisy’s Help,,manual_review,batch identity approval: first candidate through 719617
719617,421242,Bill's Transfer,156,23511,Bill’s Transfer,,manual_review,batch identity approval: first candidate through 719617
719619,421079,Bulbasaur [Leech Seed | 151],166,23521,Bulbasaur,,manual_review,batch identity approval: second candidate through 719652
719620,421081,Ivysaur [Leech Seed | Vine Whip | 151],167,23522,Ivysaur,,manual_review,batch identity approval: second candidate through 719652
